journal,article_number,sentence,victim_descriptions,shooter_descriptions,sentiment,descriptions,cluster
CNN,2,"Two people died in the school shooting, and the hospital received 13 children who were being treated for various injuries, said Tom Nordwick, a spokesperson from Uvalde Memorial Hospital.", 13 children | 13 children | Two people | shooting,,0.0,shooting,2
CNN,3,"An 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and a teacher, Gov. Greg Abbott said.", 14 students | 14 students | 14 students teacher kill | teacher,,0.3,14 students,10
CNN,3,"An 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and a teacher, Gov. Greg Abbott said.", 14 students | 14 students | 14 students teacher kill | teacher,,0.3,14 students teacher kill,14
CNN,3,"An 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and a teacher, Gov. Greg Abbott said.", 14 students | 14 students | 14 students teacher kill | teacher,,0.3,teacher,13
CNN,3,Uvalde Memorial Hospital spokesperson Tom Nordwick earlier said that two people died in the school shooting and that 13 children and a man in his 40 s were being treated for injuries., 13 children | 13 children | shooting | two people,,0.0,13 children,1
CNN,3,Uvalde Memorial Hospital spokesperson Tom Nordwick earlier said that two people died in the school shooting and that 13 children and a man in his 40 s were being treated for injuries., 13 children | 13 children | shooting | two people,,0.0,shooting,2
CNN,3,Uvalde Memorial Hospital spokesperson Tom Nordwick earlier said that two people died in the school shooting and that 13 children and a man in his 40 s were being treated for injuries., 13 children | 13 children | shooting | two people,,0.0,two people,8
CNN,3,University Hospital in San Antonio said in a tweet that they received a child and an adult from the school shooting.,adult | child | shooting,,0.1,adult,8
CNN,3,University Hospital in San Antonio said in a tweet that they received a child and an adult from the school shooting.,adult | child | shooting,,0.1,child,11
CNN,3,University Hospital in San Antonio said in a tweet that they received a child and an adult from the school shooting.,adult | child | shooting,,0.1,shooting,2
CNN,4,"Eighteen children and one adult were killed in Tuesday's mass shooting in Uvalde, Texas, according to Sgt.",Eighteen children | one adult | shooting,,-0.05,eighteen children,1
CNN,4,"Eighteen children and one adult were killed in Tuesday's mass shooting in Uvalde, Texas, according to Sgt.",Eighteen children | one adult | shooting,,-0.05,one adult,8
CNN,4,"Eighteen children and one adult were killed in Tuesday's mass shooting in Uvalde, Texas, according to Sgt.",Eighteen children | one adult | shooting,,-0.05,shooting,2
CNN,4,"Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said.", 14 students | 14 students | 14 students teacher kill | one teacher,,0.3,14 students,10
CNN,4,"Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said.", 14 students | 14 students | 14 students teacher kill | one teacher,,0.3,14 students teacher kill,14
CNN,4,"Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said.", 14 students | 14 students | 14 students teacher kill | one teacher,,0.3,one teacher,13
CNN,5,"An 18-year-old gunman on Tuesday fatally shot 18 children and an adult at a Texas elementary school before he was killed by law enforcement officers, officials said.", 18 children | 18 children | 18 children adult shoot | adult,old gunman,0.0666666666666666,18 children,1
CNN,5,"An 18-year-old gunman on Tuesday fatally shot 18 children and an adult at a Texas elementary school before he was killed by law enforcement officers, officials said.", 18 children | 18 children | 18 children adult shoot | adult,old gunman,0.0666666666666666,18 children adult shoot,12
CNN,5,"An 18-year-old gunman on Tuesday fatally shot 18 children and an adult at a Texas elementary school before he was killed by law enforcement officers, officials said.", 18 children | 18 children | 18 children adult shoot | adult,old gunman,0.0666666666666666,adult,8
CNN,5,"The shooting was the deadliest at an elementary school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children between 6 and 7 years old.", 20 children |  26 people | 20 children | 26 people | massacre | shooting,,0.0499999999999999,20 children,1
CNN,5,"The shooting was the deadliest at an elementary school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children between 6 and 7 years old.", 20 children |  26 people | 20 children | 26 people | massacre | shooting,,0.0499999999999999,26 people,19
CNN,5,"The shooting was the deadliest at an elementary school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children between 6 and 7 years old.", 20 children |  26 people | 20 children | 26 people | massacre | shooting,,0.0499999999999999,massacre,3
CNN,5,"The shooting was the deadliest at an elementary school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children between 6 and 7 years old.", 20 children |  26 people | 20 children | 26 people | massacre | shooting,,0.0499999999999999,shooting,2
CNN,6,"Just two days before students in a Texas elementary school were set to begin their summer break, a gunman clad in body armor rushed his way into the school and opened fire on classrooms of young children, killing 19 students and two adults, officials said.", 19 students | 19 students | 19 students adults kill | children | students | two adults,gunman,0.2,19 students,7
CNN,6,"Just two days before students in a Texas elementary school were set to begin their summer break, a gunman clad in body armor rushed his way into the school and opened fire on classrooms of young children, killing 19 students and two adults, officials said.", 19 students | 19 students | 19 students adults kill | children | students | two adults,gunman,0.2,19 students adults kill,12
CNN,6,"Just two days before students in a Texas elementary school were set to begin their summer break, a gunman clad in body armor rushed his way into the school and opened fire on classrooms of young children, killing 19 students and two adults, officials said.", 19 students | 19 students | 19 students adults kill | children | students | two adults,gunman,0.2,children,11
CNN,6,"Just two days before students in a Texas elementary school were set to begin their summer break, a gunman clad in body armor rushed his way into the school and opened fire on classrooms of young children, killing 19 students and two adults, officials said.", 19 students | 19 students | 19 students adults kill | children | students | two adults,gunman,0.2,students,5
CNN,6,"Just two days before students in a Texas elementary school were set to begin their summer break, a gunman clad in body armor rushed his way into the school and opened fire on classrooms of young children, killing 19 students and two adults, officials said.", 19 students | 19 students | 19 students adults kill | children | students | two adults,gunman,0.2,two adults,8
CNN,6,"The 18-year-old gunman, who was killed by law enforcement, is believed to have shot his grandmother before driving to the school to carry out to attack, according to the Texas Department of Public Safety.",grandmother | grandmother shoot,old gunman,-0.1,grandmother,16
CNN,6,"The 18-year-old gunman, who was killed by law enforcement, is believed to have shot his grandmother before driving to the school to carry out to attack, according to the Texas Department of Public Safety.",grandmother | grandmother shoot,old gunman,-0.1,grandmother shoot,16
CNN,6,Tuesday's tragic event marks the deadliest school shooting in nearly a decade since 26 children and adults were killed at Sandy Hook Elementary School in 2012., 26 children | 26 children | adults | shooting,,-0.1375,26 children,1
CNN,6,Tuesday's tragic event marks the deadliest school shooting in nearly a decade since 26 children and adults were killed at Sandy Hook Elementary School in 2012., 26 children | 26 children | adults | shooting,,-0.1375,adults,8
CNN,6,Tuesday's tragic event marks the deadliest school shooting in nearly a decade since 26 children and adults were killed at Sandy Hook Elementary School in 2012., 26 children | 26 children | adults | shooting,,-0.1375,shooting,2
CNN,7,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",19 children | at least 19 children | shooting | two adults,,-0.0166666666666666,19 children,1
CNN,7,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",19 children | at least 19 children | shooting | two adults,,-0.0166666666666666,at least 19 children,0
CNN,7,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",19 children | at least 19 children | shooting | two adults,,-0.0166666666666666,shooting,2
CNN,7,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",19 children | at least 19 children | shooting | two adults,,-0.0166666666666666,two adults,8
CNN,8,"Nineteen children and two adults were killed in a mass shooting at an elementary school in Uvalde, Texas, Tuesday in what is now the second deadliest school shooting in the US.",Nineteen children | shooting | two adults,,0.0333333333333333,nineteen children,1
CNN,8,"Nineteen children and two adults were killed in a mass shooting at an elementary school in Uvalde, Texas, Tuesday in what is now the second deadliest school shooting in the US.",Nineteen children | shooting | two adults,,0.0333333333333333,shooting,2
CNN,8,"Nineteen children and two adults were killed in a mass shooting at an elementary school in Uvalde, Texas, Tuesday in what is now the second deadliest school shooting in the US.",Nineteen children | shooting | two adults,,0.0333333333333333,two adults,8
CNN,8,"The school teaches second through fourth grades and had 535 students in the 2020-21 school year, according to state data.", 535 students | 535 students,,0.0,535 students,10
CNN,8,"Hours after the shooting Tuesday, parents were desperately waiting at a civic center near the school to find out if their children had survived.",children | shooting,,-0.1999999999999999,children,11
CNN,8,"Hours after the shooting Tuesday, parents were desperately waiting at a civic center near the school to find out if their children had survived.",children | shooting,,-0.1999999999999999,shooting,2
CNN,11,"He shot and killed, horrifically, incomprehensively, 14 students and killed a teacher,"" he said.",14 students | teacher | teacher kill,,-0.2,14 students,10
CNN,11,"He shot and killed, horrifically, incomprehensively, 14 students and killed a teacher,"" he said.",14 students | teacher | teacher kill,,-0.2,teacher,13
CNN,11,"He shot and killed, horrifically, incomprehensively, 14 students and killed a teacher,"" he said.",14 students | teacher | teacher kill,,-0.2,teacher kill,14
CNN,12,"An 18-year-old gunman on Tuesday fatally shot 19 children and two adults at an elementary school in Uvalde, Texas, before he was killed by law enforcement officers, officials said.", 19 children | 19 children | 19 children adults shoot | two adults,old gunman,0.0499999999999999,19 children,1
CNN,12,"An 18-year-old gunman on Tuesday fatally shot 19 children and two adults at an elementary school in Uvalde, Texas, before he was killed by law enforcement officers, officials said.", 19 children | 19 children | 19 children adults shoot | two adults,old gunman,0.0499999999999999,19 children adults shoot,12
CNN,12,"An 18-year-old gunman on Tuesday fatally shot 19 children and two adults at an elementary school in Uvalde, Texas, before he was killed by law enforcement officers, officials said.", 19 children | 19 children | 19 children adults shoot | two adults,old gunman,0.0499999999999999,two adults,8
CNN,12,"Tuesday's massacre is the second-deadliest school shooting since 2012, when 26 children and adults were killed at Sandy Hook Elementary School.", 26 children | 26 children | adults | massacre | shooting,,0.0499999999999999,26 children,1
CNN,12,"Tuesday's massacre is the second-deadliest school shooting since 2012, when 26 children and adults were killed at Sandy Hook Elementary School.", 26 children | 26 children | adults | massacre | shooting,,0.0499999999999999,adults,8
CNN,12,"Tuesday's massacre is the second-deadliest school shooting since 2012, when 26 children and adults were killed at Sandy Hook Elementary School.", 26 children | 26 children | adults | massacre | shooting,,0.0499999999999999,massacre,3
CNN,12,"Tuesday's massacre is the second-deadliest school shooting since 2012, when 26 children and adults were killed at Sandy Hook Elementary School.", 26 children | 26 children | adults | massacre | shooting,,0.0499999999999999,shooting,2
CNN,13,"Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about his intentions.", 19 children | 19 children | 19 children teachers kill | two teachers,old gunman,0.0999999999999999,19 children,1
CNN,13,"Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about his intentions.", 19 children | 19 children | 19 children teachers kill | two teachers,old gunman,0.0999999999999999,19 children teachers kill,14
CNN,13,"Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about his intentions.", 19 children | 19 children | 19 children teachers kill | two teachers,old gunman,0.0999999999999999,two teachers,6
CNN,16,"An 18-year-old gunman on Tuesday fatally shot 19 children and two teachers at an elementary school before he was killed by law enforcement officers, officials said.", 19 children | 19 children | 19 children teachers shoot | two teachers,old gunman,0.0499999999999999,19 children,1
CNN,16,"An 18-year-old gunman on Tuesday fatally shot 19 children and two teachers at an elementary school before he was killed by law enforcement officers, officials said.", 19 children | 19 children | 19 children teachers shoot | two teachers,old gunman,0.0499999999999999,19 children teachers shoot,14
CNN,16,"An 18-year-old gunman on Tuesday fatally shot 19 children and two teachers at an elementary school before he was killed by law enforcement officers, officials said.", 19 children | 19 children | 19 children teachers shoot | two teachers,old gunman,0.0499999999999999,two teachers,6
CNN,16,"It is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old.", 20 children |  26 people | 20 children | 26 people | massacre | shooting,,-0.05,20 children,1
CNN,16,"It is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old.", 20 children |  26 people | 20 children | 26 people | massacre | shooting,,-0.05,26 people,19
CNN,16,"It is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old.", 20 children |  26 people | 20 children | 26 people | massacre | shooting,,-0.05,massacre,3
CNN,16,"It is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old.", 20 children |  26 people | 20 children | 26 people | massacre | shooting,,-0.05,shooting,2
CNN,17,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for his 18 th birthday.",19 kids teachers kill | student | two teachers,purchase two rifles | suspect,0.0371428571428571,19 kids teachers kill,14
CNN,17,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for his 18 th birthday.",19 kids teachers kill | student | two teachers,purchase two rifles | suspect,0.0371428571428571,student,5
CNN,17,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for his 18 th birthday.",19 kids teachers kill | student | two teachers,purchase two rifles | suspect,0.0371428571428571,two teachers,6
CNN,18,"The NRA's annual meeting was canceled in 2020 and 2021 due to the coronavirus pandemic, but this year the organization is moving ahead with its plans, holding the meeting at a time when both gun rights and the organization itself have come under intense scrutiny, especially after a shooting at an elementary school in Uvalde, Texas, left 21 dead.",shooting,,0.0291666666666666,shooting,2
CNN,20,Walker's comments come one day after a gunman murdered 21 people in a Texas elementary school., 21 people | 21 people | 21 people murder,gunman,0.3,21 people,19
CNN,20,Walker's comments come one day after a gunman murdered 21 people in a Texas elementary school., 21 people | 21 people | 21 people murder,gunman,0.3,21 people murder,12
CNN,21,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, he was shouted down for making the tragedy political. """, 19 children | 19 children | shooting | two adults,,-0.0888888888888889,19 children,1
CNN,21,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, he was shouted down for making the tragedy political. """, 19 children | 19 children | shooting | two adults,,-0.0888888888888889,shooting,2
CNN,21,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, he was shouted down for making the tragedy political. """, 19 children | 19 children | shooting | two adults,,-0.0888888888888889,two adults,8
FOX,1,"A mass shooting at a Texas elementary school killed 19 children and two teachers Tuesday and the suspected gunman was killed,Gov. Greg Abbott said.", 19 children | 19 children | 19 children teachers kill | shooting | two teachers,suspected | suspected gunman,0.0499999999999999,19 children,1
FOX,1,"A mass shooting at a Texas elementary school killed 19 children and two teachers Tuesday and the suspected gunman was killed,Gov. Greg Abbott said.", 19 children | 19 children | 19 children teachers kill | shooting | two teachers,suspected | suspected gunman,0.0499999999999999,19 children teachers kill,14
FOX,1,"A mass shooting at a Texas elementary school killed 19 children and two teachers Tuesday and the suspected gunman was killed,Gov. Greg Abbott said.", 19 children | 19 children | 19 children teachers kill | shooting | two teachers,suspected | suspected gunman,0.0499999999999999,shooting,2
FOX,1,"A mass shooting at a Texas elementary school killed 19 children and two teachers Tuesday and the suspected gunman was killed,Gov. Greg Abbott said.", 19 children | 19 children | 19 children teachers kill | shooting | two teachers,suspected | suspected gunman,0.0499999999999999,two teachers,6
FOX,2,"The report was released just over a week after upstate New York man Payton Gendron, 18, allegedly unleashed a racially motivedattack on May 15, when he opened fire at a busy Tops Friendly Markets store in Buffalo, N.Y. Gendron killed 10 people andwounded three others, officials have said.", 10 people | 10 people | 10 people kill,,0.0622727272727272,10 people,18
FOX,2,"The report was released just over a week after upstate New York man Payton Gendron, 18, allegedly unleashed a racially motivedattack on May 15, when he opened fire at a busy Tops Friendly Markets store in Buffalo, N.Y. Gendron killed 10 people andwounded three others, officials have said.", 10 people | 10 people | 10 people kill,,0.0622727272727272,10 people kill,18
FOX,3,"President Biden is set to address the nation after a horrific shooting in Uvalde, Texas left 14 children and one teacher dead.", 14 children | 14 children | one teacher | shooting,,-0.3999999999999999,14 children,1
FOX,3,"President Biden is set to address the nation after a horrific shooting in Uvalde, Texas left 14 children and one teacher dead.", 14 children | 14 children | one teacher | shooting,,-0.3999999999999999,one teacher,13
FOX,3,"President Biden is set to address the nation after a horrific shooting in Uvalde, Texas left 14 children and one teacher dead.", 14 children | 14 children | one teacher | shooting,,-0.3999999999999999,shooting,2
FOX,5,The Uvalde Consolidated Independent School District (UCISD) in Texas had many security measures in place before Tuesday'smass shooting that left at least 18 students and a teacher dead after a now-deceased suspect opened fire at Robb ElementarySchool.,18 students | at least 18 students | shooting | teacher,deceased suspect,0.0,18 students,7
FOX,5,The Uvalde Consolidated Independent School District (UCISD) in Texas had many security measures in place before Tuesday'smass shooting that left at least 18 students and a teacher dead after a now-deceased suspect opened fire at Robb ElementarySchool.,18 students | at least 18 students | shooting | teacher,deceased suspect,0.0,at least 18 students,7
FOX,5,The Uvalde Consolidated Independent School District (UCISD) in Texas had many security measures in place before Tuesday'smass shooting that left at least 18 students and a teacher dead after a now-deceased suspect opened fire at Robb ElementarySchool.,18 students | at least 18 students | shooting | teacher,deceased suspect,0.0,shooting,2
FOX,5,The Uvalde Consolidated Independent School District (UCISD) in Texas had many security measures in place before Tuesday'smass shooting that left at least 18 students and a teacher dead after a now-deceased suspect opened fire at Robb ElementarySchool.,18 students | at least 18 students | shooting | teacher,deceased suspect,0.0,teacher,13
FOX,6,"Texas Gov. Greg Abbott identified the deceased suspect as Salvador Ramos, 18, who had a handgun and possibly a rifle when heopened fire at Robb Elementary School, killing 18 students and one teacher, according to Abbott.", 18 students | 18 students | 18 students teacher kill | one teacher,deceased suspect | have handgun,0.15,18 students,7
FOX,6,"Texas Gov. Greg Abbott identified the deceased suspect as Salvador Ramos, 18, who had a handgun and possibly a rifle when heopened fire at Robb Elementary School, killing 18 students and one teacher, according to Abbott.", 18 students | 18 students | 18 students teacher kill | one teacher,deceased suspect | have handgun,0.15,18 students teacher kill,14
FOX,6,"Texas Gov. Greg Abbott identified the deceased suspect as Salvador Ramos, 18, who had a handgun and possibly a rifle when heopened fire at Robb Elementary School, killing 18 students and one teacher, according to Abbott.", 18 students | 18 students | 18 students teacher kill | one teacher,deceased suspect | have handgun,0.15,one teacher,13
FOX,7,"UVALDE, TEXAS SCHOOL SHOOTING: 14 STUDENTS, ONE TEACHER KILLED, SUSPECTED SHOOTER DEAD, GOV.",14 STUDENTS | 14 STUDENTS ONE TEACHER KILLED SUSPECTED SHOOTER DEAD GOV | ONE TEACHER | SHOOTING,,-0.2,14 students,10
FOX,7,"UVALDE, TEXAS SCHOOL SHOOTING: 14 STUDENTS, ONE TEACHER KILLED, SUSPECTED SHOOTER DEAD, GOV.",14 STUDENTS | 14 STUDENTS ONE TEACHER KILLED SUSPECTED SHOOTER DEAD GOV | ONE TEACHER | SHOOTING,,-0.2,14 students one teacher killed suspected shooter dead gov,14
FOX,7,"UVALDE, TEXAS SCHOOL SHOOTING: 14 STUDENTS, ONE TEACHER KILLED, SUSPECTED SHOOTER DEAD, GOV.",14 STUDENTS | 14 STUDENTS ONE TEACHER KILLED SUSPECTED SHOOTER DEAD GOV | ONE TEACHER | SHOOTING,,-0.2,one teacher,13
FOX,7,"UVALDE, TEXAS SCHOOL SHOOTING: 14 STUDENTS, ONE TEACHER KILLED, SUSPECTED SHOOTER DEAD, GOV.",14 STUDENTS | 14 STUDENTS ONE TEACHER KILLED SUSPECTED SHOOTER DEAD GOV | ONE TEACHER | SHOOTING,,-0.2,shooting,2
FOX,8,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD I was in the business of rescuing people from situations like this.",18 STUDENTS | 18 STUDENTS ONE ADULT KILLED SUSPECTED SHOOTER | SHOOTING | people,,-0.1,18 students,7
FOX,8,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD I was in the business of rescuing people from situations like this.",18 STUDENTS | 18 STUDENTS ONE ADULT KILLED SUSPECTED SHOOTER | SHOOTING | people,,-0.1,18 students one adult killed suspected shooter,12
FOX,8,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD I was in the business of rescuing people from situations like this.",18 STUDENTS | 18 STUDENTS ONE ADULT KILLED SUSPECTED SHOOTER | SHOOTING | people,,-0.1,shooting,2
FOX,8,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD I was in the business of rescuing people from situations like this.",18 STUDENTS | 18 STUDENTS ONE ADULT KILLED SUSPECTED SHOOTER | SHOOTING | people,,-0.1,people,19
FOX,9,"To lose a child is like having a piece of your soul ripped away,"" said Biden, who learned of the shooting at Robb Elementary Schoolwhile on Air Force One returning from his trip to Asia. """,child | shooting,,0.3,child,11
FOX,9,"To lose a child is like having a piece of your soul ripped away,"" said Biden, who learned of the shooting at Robb Elementary Schoolwhile on Air Force One returning from his trip to Asia. """,child | shooting,,0.3,shooting,2
FOX,9,"A shooter identified as Salvador Romas opened fire at Robb Elementary School Tuesday, killing at least 18 students and oneteacher.",18 students | 18 students oneteacher kill | at least 18 students,shooter,0.0,18 students,7
FOX,9,"A shooter identified as Salvador Romas opened fire at Robb Elementary School Tuesday, killing at least 18 students and oneteacher.",18 students | 18 students oneteacher kill | at least 18 students,shooter,0.0,18 students oneteacher kill,14
FOX,9,"A shooter identified as Salvador Romas opened fire at Robb Elementary School Tuesday, killing at least 18 students and oneteacher.",18 students | 18 students oneteacher kill | at least 18 students,shooter,0.0,at least 18 students,7
FOX,10,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD It goes back to why did we not have a police officer, meaning an armed resource officer, at the front of this school?",18 STUDENTS | 18 STUDENTS ONE ADULT KILLED SUSPECTED SHOOTER | SHOOTING,,-0.075,18 students,7
FOX,10,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD It goes back to why did we not have a police officer, meaning an armed resource officer, at the front of this school?",18 STUDENTS | 18 STUDENTS ONE ADULT KILLED SUSPECTED SHOOTER | SHOOTING,,-0.075,18 students one adult killed suspected shooter,12
FOX,10,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD It goes back to why did we not have a police officer, meaning an armed resource officer, at the front of this school?",18 STUDENTS | 18 STUDENTS ONE ADULT KILLED SUSPECTED SHOOTER | SHOOTING,,-0.075,shooting,2
FOX,12,"A suspected lone gunman took the lives of at least 19 children and two teachers; the gunman has been killed, Texas Gov. GregAbbott said on Tuesday. """,19 children | at least 19 children | two teachers,gunman | suspected | suspected lone gunman,-0.25,19 children,1
FOX,12,"A suspected lone gunman took the lives of at least 19 children and two teachers; the gunman has been killed, Texas Gov. GregAbbott said on Tuesday. """,19 children | at least 19 children | two teachers,gunman | suspected | suspected lone gunman,-0.25,at least 19 children,0
FOX,12,"A suspected lone gunman took the lives of at least 19 children and two teachers; the gunman has been killed, Texas Gov. GregAbbott said on Tuesday. """,19 children | at least 19 children | two teachers,gunman | suspected | suspected lone gunman,-0.25,two teachers,6
FOX,13,"Salvador Ramos, the alleged gunman accused of shooting his grandmother and then targeting dozens of victims – ultimately killing 19 children and two adults – at a Texas elementary school was known to be a loner who had quit his job just weeks beforeunleashing his attack, Fox News has learned.", 19 children | 19 children | 19 children adults kill | grandmother | grandmother shoot | two adults,alleged gunman,0.0666666666666666,19 children,1
FOX,13,"Salvador Ramos, the alleged gunman accused of shooting his grandmother and then targeting dozens of victims – ultimately killing 19 children and two adults – at a Texas elementary school was known to be a loner who had quit his job just weeks beforeunleashing his attack, Fox News has learned.", 19 children | 19 children | 19 children adults kill | grandmother | grandmother shoot | two adults,alleged gunman,0.0666666666666666,19 children adults kill,12
FOX,13,"Salvador Ramos, the alleged gunman accused of shooting his grandmother and then targeting dozens of victims – ultimately killing 19 children and two adults – at a Texas elementary school was known to be a loner who had quit his job just weeks beforeunleashing his attack, Fox News has learned.", 19 children | 19 children | 19 children adults kill | grandmother | grandmother shoot | two adults,alleged gunman,0.0666666666666666,grandmother,16
FOX,13,"Salvador Ramos, the alleged gunman accused of shooting his grandmother and then targeting dozens of victims – ultimately killing 19 children and two adults – at a Texas elementary school was known to be a loner who had quit his job just weeks beforeunleashing his attack, Fox News has learned.", 19 children | 19 children | 19 children adults kill | grandmother | grandmother shoot | two adults,alleged gunman,0.0666666666666666,grandmother shoot,16
FOX,13,"Salvador Ramos, the alleged gunman accused of shooting his grandmother and then targeting dozens of victims – ultimately killing 19 children and two adults – at a Texas elementary school was known to be a loner who had quit his job just weeks beforeunleashing his attack, Fox News has learned.", 19 children | 19 children | 19 children adults kill | grandmother | grandmother shoot | two adults,alleged gunman,0.0666666666666666,two adults,8
